Level_Hierarchy	Constraint_Name	Group_Name	Previous_hierarchy	Status_previous_Hierarchy	MonophylyCorrected	Monophyletic_Constraint	PresenceDNATree	Comments
Family	Acanthuridae	Acanthuridae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Rhombosoleidae	Rhombosoleidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Alepisauridae	Alepisauridae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Antennariidae	Antennariidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Aplodactylidae	Aplodactylidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Apogonidae	Apogonidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Argentinidae	Argentinidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Ariommatidae	Ariommatidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Arripidae	Arripidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Aulostomidae	Aulostomidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Balistidae	Balistidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Bathygadidae	Bathygadidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Belonidae	Belonidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Berycidae	Berycidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Blenniidae	Blenniidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Bothidae	Bothidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Bovichtidae	Bovichtidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Bramidae	Bramidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Bythitidae	Bythitidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Callanthiidae	Callanthiidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Callionymidae	Callionymidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Carangidae	Carangidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Ophidiidae	Ophidiidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Caristiidae	Caristiidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Cepolidae	Cepolidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Ceratiidae	Ceratiidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Cetomimidae	Cetomimidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Chaetodontidae	Chaetodontidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Chaunacidae	Chaunacidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Chiasmodontidae	Chiasmodontidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Chironemidae	Chironemidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Cirrhitidae	Cirrhitidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Dactylopteridae	Dactylopteridae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Diodontidae	Diodontidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Gonostomatidae	Gonostomatidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Diretmidae	Diretmidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Echeneidae	Echeneidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Eleotridae	Eleotridae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Emmelichthyidae	Emmelichthyidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Engraulidae	Engraulidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Ephippidae	Ephippidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Epigonidae	Epigonidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Evermannellidae	Evermannellidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Exocoetidae	Exocoetidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Fistulariidae	Fistulariidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Gadidae	Gadidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Gigantactinidae	Gigantactinidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Gobiesocidae	Gobiesocidae	See_Species	Species	Monophyletic	Yes	No	
Family	Gobiidae	Gobiidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Gonorynchidae	Gonorynchidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Halosauridae	Halosauridae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Holocentridae	Holocentridae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Hoplichthyidae	Hoplichthyidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Howellidae	Howellidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Istiophoridae	Istiophoridae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Kuhliidae	Kuhliidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Kyphosidae	Kyphosidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Labridae	Labridae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Latridae	Latridae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Lutjanidae	Lutjanidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Macrouridae	Macrouridae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Malacanthidae	Malacanthidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Melamphaidae	Melamphaidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Melanocetidae	Melanocetidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Merlucciidae	Merlucciidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Molidae	Molidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Monacanthidae	Monacanthidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Moridae	Moridae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Mugilidae	Mugilidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Mullidae	Mullidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Myctophidae	Myctophidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Neoscopelidae	Neoscopelidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Nomeidae	Nomeidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Notosudidae	Notosudidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Ogcocephalidae	Ogcocephalidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Oneirodidae	Oneirodidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Ophichthidae	Ophichthidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Ostraciidae	Ostraciidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Pentacerotidae	Pentacerotidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Pinguipedidae	Pinguipedidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Platytroctidae	Platytroctidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Plesiopidae	Plesiopidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Polymixiidae	Polymixiidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Polyprionidae	Polyprionidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Pomacentridae	Pomacentridae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Priacanthidae	Priacanthidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Psychrolutidae	Psychrolutidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Regalecidae	Regalecidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Rondeletiidae	Rondeletiidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Sebastidae	Sebastidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Serranidae	Serranidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Sparidae	Sparidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Sphyraenidae	Sphyraenidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Sternoptychidae	Sternoptychidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Stomiidae	Stomiidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Syngnathidae	Syngnathidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Tetraodontidae	Tetraodontidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Trachipteridae	Trachipteridae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Triacanthodidae	Triacanthodidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Trichiuridae	Trichiuridae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Triglidae	Triglidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Tripterygiidae	Tripterygiidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Uranoscopidae	Uranoscopidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Zeidae	Zeidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Zoarcidae	Zoarcidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Acipenseridae	Acipenseridae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Lepisosteidae	Lepisosteidae	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Family	Clinidae	Clinidae	See_Species	Species	Monophyletic	Yes	No	
Family	Cottidae	Cottidae	See_Species	Species	Monophyletic	Yes	No	
Family	Cynoglossidae	Cynoglossidae	See_Species	Species	Monophyletic	Yes	No	
Family	Dinematichthyidae	Dinematichthyidae	See_Species	Species	Monophyletic	Yes	No	
Family	Liparidae	Liparidae	See_Species	Species	Monophyletic	Yes	No	
Family	Lophiidae	Lophiidae	See_Species	Species	Monophyletic	Yes	No	
Family	Pempheridae	Pempheridae	See_Species	Species	Monophyletic	Yes	No	
Family	Pomacanthidae	Pomacanthidae	See_Species	Species	Monophyletic	Yes	No	
Family	Soleidae	Soleidae	See_Species	Species	Monophyletic	Yes	No	
Family	Anoplogastridae	Anoplogastridae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Aulopidae	Aulopidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Barbourisiidae	Barbourisiidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Bathylagidae	Bathylagidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Bathysauridae	Bathysauridae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Centrolophidae	Centrolophidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Congridae	Congridae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Coryphaenidae	Coryphaenidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Creediidae	Creediidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Eurypharyngidae	Eurypharyngidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Girellidae	Girellidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Himantolophidae	Himantolophidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Isonidae	Isonidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Lampridae	Lampridae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Lophotidae	Lophotidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Luvaridae	Luvaridae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Monocentridae	Monocentridae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Muraenidae	Muraenidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Muraenolepididae	Muraenolepididae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Nemichthyidae	Nemichthyidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Notacanthidae	Notacanthidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Opisthoproctidae	Opisthoproctidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Oplegnathidae	Oplegnathidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Paraulopidae	Paraulopidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Parazenidae	Parazenidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Percophidae	Percophidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Saccopharyngidae	Saccopharyngidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Scombrolabracidae	Scombrolabracidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Serrivomeridae	Serrivomeridae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Setarchidae	Setarchidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Stephanoberycidae	Stephanoberycidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Xiphiidae	Xiphiidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Zanclidae	Zanclidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Zeniontidae	Zeniontidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Amiidae	Amiidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Polyodontidae	Polyodontidae	See_Species	Species	Monotypic	No	DNA_Tree	
Family	Champsodontidae	Champsodontidae	See_Species	Species	Monotypic	No	No	
Family	Microstomatidae	Microstomatidae	See_Species	Species	Monotypic	No	No	
Family	Tetrarogidae	Tetrarogidae	See_Species	Species	Monotypic	No	No	
Family	Bathysauropsidae	Bathysauropsidae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Caulophrynidae	Caulophrynidae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Congiopodidae	Congiopodidae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Cyematidae	Cyematidae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Cyttidae	Cyttidae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Derichthyidae	Derichthyidae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Euclichthyidae	Euclichthyidae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Grammicolepididae	Grammicolepididae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Leptoscopidae	Leptoscopidae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Linophrynidae	Linophrynidae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Gaidropsaridae	Gaidropsaridae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Centriscidae	Centriscidae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Melanonidae	Melanonidae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Microcanthidae	Microcanthidae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Nettastomatidae	Nettastomatidae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Oreosomatidae	Oreosomatidae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Plectrogeniidae	Plectrogeniidae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Scorpididae	Scorpididae	See_Species	Species	Not Examined	No	DNA_Tree	
